Stock,Earnings Per Share,Debt to Equity,Price to Book,Price to 52W Range
AAPL,5.87,195.868,45.733036,51.980000000000004
ABCL,0.5,6.67,1.5654805,9.55
ABNB,2.74,42.104,12.767248,81.33000000000001
ADBE,10.16,29.044,11.941518,176.41999999999996
AFRM,-2.65,202.798,1.1577845,32.35
AMD,0.84,5.399,2.4673183,54.99999999999999
API,-4.24,0.312,0.47662142,5.7250000000000005
APPF,-1.98,20.183,16.554064,55.887
APPS,0.49,71.274,1.9629993,25.589999999999996
ASAN,-1.93,76.152,9.753605,19.16
ASML,19.48,40.596,1356.6063,335.44000000000005
ATOM,-0.71,24.013,6.1629276,10.009
AVGO,29.62,169.009,11.12757,233.43
AZPN,3.7,2.795,1.1445504,114.65999999999997
BIDU,2.89,38.416,0.18292224,87.3
BIGC,-1.73,766.583,12.524272,14.07
BILL,-3.46,46.646,1.9017863,121.67
BL,-0.49,1032.177,29.75322,30.500000000000007
BLI,-1.33,32.271,0.6097561,6.4203
BMBL,-0.63,26.16,1.344176,22.479999999999997
BR,4.45,244.134,9.301667,51.98000000000002
CARR,4.1,117.67,4.551516,16.07
CDAY,-0.46,59.491,4.5499635,36.43
CDNS,3.09,23.064,18.905888,85.35
CELH,-2.56,0.141,171.39049,83.92999999999999
CERS,-0.24,127.238,6.3779526,3.5900000000000003
CFLT,-1.56,145.165,7.984205,18.846999999999998
CHGG,1.33,108.317,2.0455315,14.8
CLNE,-0.26,27.735,1.2666049,4.74
CLPT,-0.66,32.494,6.489007,9.96
COIN,-11.83,66.756,2.3511236,101.26
CRM,0.22,25.496,3.2051303,73.78
CRSP,-8.09,13.011,2.0692399,48.010000000000005
CRWD,-0.8,52.682,19.676224,119.94
CSCO,2.73,24.008,4.6494865,13.96
DASH,-3.49,7.55,3.2933402,48.365
DDOG,-0.16,59.377,14.186467,69.35999999999999
DLO,0.35,1.021,10.000001,24.597
DMTK,-3.53,42.183,0.8379121,8.183
DNMR,-1.37,83.107,0.84928554,4.35
DNUT,-0.1,95.083,2.1742797,5.849999999999998
DOCN,-0.25,3202.574,59.185608,30.505000000000003
DOCU,-0.48,143.902,16.077854,52.470000000000006
DOX,4.44,22.493,3.061939,20.289999999999992
DXCM,0.82,100.816,22.46059,58.6575
DXYN,-2.2,383.557,0.34287038,2.2199999999999998
EAR,-39.68,6.545,0.9823263,95.08
EBON,-0.29,0.758,0.09798031,28.68
EDIT,-3.3,12.184,1.4379084,13.639999999999999
EH,-0.77,121.489,4.7495365,14.519
ELAN,-0.16,82.014,0.6070267,17.310000000000002
ENV,-1.59,135.39,4.560487,38.93000000000001
ESTC,-2.6,155.03,14.070641,45.12
ET,1.4,119.331,1.4372561,4.52
EVBG,-1.76,180.843,3.6599586,23.269999999999996
EXAS,-3.54,80.754,3.7155051,42.92
EXEL,0.56,8.352,2.4541075,8.26
EXPI,0.1,2.235,6.896977,8.739999999999998
FARO,-1.44,6.545,1.3753548,22.21
FATE,-2.97,22.593,1.212304,33.11
FIVN,-1.35,255.048,14.274582,73.775
FLGT,4.62,3.018,0.67164004,36.64
FROG,-0.88,3.835,3.0232558,11.604
FSLY,-1.58,87.267,1.9474095,10.929999999999998
FUTU,2.59,12.902,0.2868962,45.36
GBDC,0.67,122.705,0.89740974,3.42
GDRX,-0.08,87.997,2.6754384,12.21
GGG,2.66,6.807,6.3206778,16.619999999999997
GH,-6.03,2275.314,36.604095,46.18
GLOB,3.47,8.92,4.1015,95.5
GNRC,5.39,64.762,2.7778533,213.56
GOEV,-1.64,31.963,1.1261262,4.5969999999999995
GOOGL,4.56,11.703,5.2094307,39.5145
GRMN,5.04,2.251,2.9674473,38.019999999999996
GRPN,-7.46,3914.631,13.309353,17.48
HAE,1.82,98.957,5.4046674,42.72
HARP,-1.94,296.462,3.781457,2.796
HIMS,-0.35,1.702,7.479946,9.514999999999999
HLNE,2.58,55.217,7.01209,25.42
HOOD,-1.13,28.493,1.1665812,5.95
HYLN,-0.85,1.728,0.552017,3.4450000000000003
IAC,-13.25,39.938,0.7271175,49.163999999999994
IDXX,7.68,241.49,65.79929,198.72999999999996
IMAB,-4.43,2.493,0.08662308,11.54
INGN,-3.7,7.827,1.0189756,20.409999999999997
INTC,1.98,41.121,1.1780062,22.680000000000003
INTU,6.83,48.46,7.437991,151.46999999999997
INVZ,-0.9,17.666,1.8368794,3.68
IONS,-1.91,237.684,8.896604,17.36
IOVA,-2.49,17.102,2.0714285,11.38
IRBT,-10.36,8.127,2.4770854,24.840000000000003
IRTC,-3.88,54.642,16.977213,78.95
IZEA,-0.07,0.149,0.527531,0.731
JFU,-2.02,0.403,0.0073433397,20.51
KIDS,0.06,0.308,2.9889433,25.08
KOD,-5.93,20.114,0.54899156,8.3
KRTX,-8.55,0.473,6.0145707,185.993
LCUT,-0.28,143.168,0.43908194,8.24
LMND,-4.08,4.061,0.87995523,21.97
LOGI,2.58,3.232,3.9606001,26.36
LPRO,0.51,71.456,3.8466008,10.02
LPSN,-2.86,1091.272,4.972253,19.88
LRCX,36.15,59.535,8.005896,249.26000000000005
LSPD,-7.41,1.04,0.762063,15.64
