Stock,Price to Earnings,Earnings Per Share,Price to Book,Price to 52W Range
AAPL,27.89949,5.87,45.733036,51.980000000000004
ABCL,13.46,0.5,1.5654805,9.55
ABNB,41.06022,2.74,12.767248,81.33000000000001
ADBE,36.37697,10.16,11.941518,176.41999999999996
AMD,99.76191,0.84,2.4673183,54.99999999999999
APPS,24.469387,0.49,1.9629993,25.589999999999996
ASML,31.748428,19.08,1356.6063,335.44000000000005
AVGO,21.0,29.62,11.12757,233.43
AZPN,62.791893,3.7,1.1445504,114.65999999999997
BIDU,40.46367,2.89,0.18292224,87.3
BR,31.728092,4.45,9.301667,51.98000000000002
CARR,10.321951,4.1,4.551516,16.07
CDNS,65.98705,3.09,18.905888,85.35
CHGG,13.578946,1.33,2.0455315,14.8
CRM,866.6818,0.22,3.2051303,73.78
CSCO,17.249084,2.73,4.6494865,13.96
DLO,40.939392,0.33,10.000001,24.597
DOX,20.286036,4.44,3.061939,20.289999999999992
DXCM,151.17073,0.82,22.46059,58.6575
ET,8.95,1.4,1.4372561,4.52
EXEL,33.660713,0.56,2.4541075,8.26
EXPI,111.8,0.1,6.896977,8.739999999999998
FLGT,6.255411,4.62,0.67164004,36.64
FUTU,16.57529,2.59,0.2868962,45.36
GBDC,19.411764,0.68,0.89740974,3.42
GGG,26.349623,2.66,6.3206778,16.619999999999997
GLOB,42.15562,3.47,4.1015,95.5
GNRC,18.977694,5.38,2.7778533,213.56
GOOGL,22.774122,4.56,5.2094307,39.5145
GRMN,19.063492,5.04,2.9674473,38.019999999999996
HAE,45.681316,1.82,5.4046674,42.72
HLNE,28.325583,2.58,7.01209,25.42
IDXX,62.920574,7.68,65.79929,198.72999999999996
INTC,14.585858,1.98,1.1780062,22.680000000000003
INTU,61.37865,6.84,7.437991,151.46999999999997
KIDS,824.50006,0.06,2.9889433,25.08
LOGI,21.585272,2.58,3.9606001,26.36
LPRO,12.980392,0.51,3.8466008,10.02
LRCX,13.9081545,35.93,8.005896,249.26000000000005
MCHP,20.1,3.7,6.4546084,33.43000000000001
MDRX,14.755814,0.86,1.1779449,9.350000000000001
MDT,30.821306,2.91,2.319549,32.480000000000004
MEDP,28.491108,7.31,18.365961,114.53
MELI,133.35683,9.22,33.822517,737.07
MKTX,47.411415,6.66,10.995961,182.33999999999997
MRNA,6.714783,20.09,2.715925,102.22
MSFT,30.199564,9.12,11.199578,80.75
MU,41.234043,1.41,1.3459269,26.979999999999997
NOW,274.70807,1.61,17.831715,184.58000000000004
NTES,19.436783,4.35,0.5230177,55.67999999999999
NVDA,151.68208,1.73,29.280294,172.97000000000003
NXPI,16.09589,10.22,5.7299104,66.19999999999999
OLED,30.568182,4.4,5.0378304,66.5
OLLI,39.03049,1.64,2.9140491,31.869999999999997
ON,17.5,4.02,4.9103093,42.79
PAYC,61.69017,4.68,13.600432,146.95999999999998
PCRX,134.45454,0.33,2.6293333,40.99999999999999
PYPL,34.01896,2.11,4.0219646,36.644999999999996
QCOM,10.92433,10.44,6.784652,54.72999999999999
SEDG,186.27109,1.66,7.975291,185.74999999999997
TSLA,47.255882,3.4,10.5954895,216.69
TTD,539.7273,0.11,13.76536,37.75
TXN,17.981953,9.42,10.528311,41.84
ZM,185.44118,0.34,2.9847565,61.44
