Stock,Price to Earnings,Earnings Per Share,Dept to Equity,Price to 52W Range
AAPL,27.89949,5.87,195.868,51.980000000000004
ABCL,13.46,0.5,6.67,9.55
ABNB,41.06022,2.74,42.104,81.33000000000001
ADBE,36.37697,10.16,29.044,176.41999999999996
AMD,99.76191,0.84,5.399,54.99999999999999
APPS,24.469387,0.49,71.274,25.589999999999996
ASML,31.748428,19.08,40.596,335.44000000000005
AVGO,21.0,29.62,169.009,233.43
AZPN,62.791893,3.7,2.795,114.65999999999997
BIDU,40.46367,2.89,38.416,87.3
BR,31.728092,4.45,244.134,51.98000000000002
CARR,10.321951,4.1,117.67,16.07
CDNS,65.98705,3.09,23.064,85.35
CHGG,13.578946,1.33,108.317,14.8
CRM,866.6818,0.22,25.496,73.78
CSCO,17.249084,2.73,24.008,13.96
DLO,40.939392,0.33,1.021,24.597
DOX,20.286036,4.44,22.493,20.289999999999992
DXCM,151.17073,0.82,100.816,58.6575
ET,8.95,1.4,119.331,4.52
EXEL,33.660713,0.56,8.352,8.26
EXPI,111.8,0.1,2.235,8.739999999999998
FLGT,6.255411,4.62,3.018,36.64
FUTU,16.57529,2.59,12.902,45.36
GBDC,19.411764,0.68,122.705,3.42
GGG,26.349623,2.66,6.807,16.619999999999997
GLOB,42.15562,3.47,8.92,95.5
GNRC,18.977694,5.38,64.762,213.56
GOOGL,22.774122,4.56,11.703,39.5145
GRMN,19.063492,5.04,2.251,38.019999999999996
HAE,45.681316,1.82,98.957,42.72
HLNE,28.325583,2.58,55.217,25.42
IDXX,62.920574,7.68,241.49,198.72999999999996
INTC,14.585858,1.98,41.121,22.680000000000003
INTU,61.37865,6.84,48.46,151.46999999999997
KIDS,824.50006,0.06,0.308,25.08
LOGI,21.585272,2.58,3.232,26.36
LPRO,12.980392,0.51,71.456,10.02
LRCX,13.9081545,35.93,59.535,249.26000000000005
MCHP,20.1,3.7,104.924,33.43000000000001
MDRX,14.755814,0.86,18.59,9.350000000000001
MDT,30.821306,2.91,54.493,32.480000000000004
MEDP,28.491108,7.31,74.206,114.53
MELI,133.35683,9.22,297.154,737.07
MKTX,47.411415,6.66,7.647,182.33999999999997
MRNA,6.714783,20.09,6.275,102.22
MSFT,30.199564,9.12,42.583,80.75
MU,41.234043,1.41,27.391,26.979999999999997
NOW,274.70807,1.61,44.356,184.58000000000004
NTES,19.436783,4.35,25.287,55.67999999999999
NVDA,151.68208,1.73,54.436,172.97000000000003
NXPI,16.09589,10.22,147.842,66.19999999999999
OLED,30.568182,4.4,2.57,66.5
OLLI,39.03049,1.64,32.39,31.869999999999997
ON,17.5,4.02,56.588,42.79
PAYC,61.69017,4.68,5.92,146.95999999999998
PCRX,134.45454,0.33,98.501,40.99999999999999
PYPL,34.01896,2.11,56.994,36.644999999999996
QCOM,10.92433,10.44,89.724,54.72999999999999
SEDG,186.27109,1.66,33.797,185.74999999999997
TSLA,47.255882,3.4,11.321,216.69
TTD,539.7273,0.11,12.336,37.75
TXN,17.981953,9.42,62.797,41.84
ZM,185.44118,0.34,1.554,61.44
